SKU,Product Name,Qty,Unit
CHA185,Charmee Overnight Long Black,18,pcs
CHE46,Cheezy Snack Original 150 g,20,pcs
CHE107,Cheese Ring Jalapeño 60 g,25,pcs
CHE88,Cheese Ring Cheese 25 g,30,pcs
CHE14,Cheese Ball 60 g,25,pcs
CHE22,Cheez-It 25 g,100,pcs
CHE23,Cheez Whiz Pimiento 440 g,12,pcs
CHI02,Chippy Barbecue 108 g,50,pcs
CHI13,Chippy Chili & Cheese 108 g,50,pcs
CHI32,Chips Ahoy 142.5 g,24,pcs
CHO06,Choco Mucho Chocolate 30 g,20,pcs
CHO07,Choco Mucho Dark 30 g,20,pcs
CHO11,Choco Mucho Cookie Sandwich 33 g,30,pcs
CHO23,Choco Mucho Caramel 30 g,20,pcs
CUP07,Cup Keyk Nutty 33 g,10,pcs
CUP09,Cup Keyk Mocha 33 g,10,pcs
CUP14,Cup Keyk Toppings 34 g,10,pcs
COB01,Cobra Energy 350 ml,24,pcs
COB04,Cobra Energy Strawberry 350 ml,24,pcs
COB09,Cobra Energy Citrus 300 ml,12,pcs
COB10,Cobra Energy Strawberry 300 ml,12,pcs
COL05AB,Colgate Toothbrush Adult 6 S,12,pcs
COL149B,Colgate Toothbrush Extra Clean 4 S,6,pcs
COL34AY,Colgate Toothbrush Slim Soft 5 S,5,pcs
COL35AB,Colgate Toothbrush Flexible 24 S,6,pcs
COL35B,Colgate Toothbrush Hanging 6 S,6,pcs
COL42B,Colgate Toothpaste Active Salt 132 g,6,pcs
COL42AY,Colgate Toothpaste Active Salt 133 g,2,pcs
COL05A,Colgate Toothpaste Charcoal 150 g,6,pcs
COL35B,Colgate Toothpaste Charcoal 125 g,6,pcs
COL35AB,Colgate Toothpaste Charcoal 120 g,6,pcs
COL424B,Colgate Toothpaste Active Salt 125 g,6,pcs
COL29B,Colgate Toothpaste Active Salt 33 g,12,pcs
CO005A,Colgate Toothpaste Cool Mint 173 g,27,pcs
COL432,Colgate Toothpaste Total Charcoal 150 g,6,pcs
COL05AB,Colgate Toothpaste Triple Action 33 g,12,pcs
COL05AB,Colgate Toothpaste White 120 g,6,pcs
COL424B,Colgate Toothpaste White 125 g,6,pcs
COL42B,Colgate Toothpaste White 132 g,6,pcs
CLO29A,Colgate Toothpaste Red Hot 120 g,48,pcs
CLO42A,Colgate Toothpaste Green Mint 175 g,36,pcs
COL102,Colgate Plax Freshmint 250 ml,2,pcs
CRE48,Cream Silk Conditioner Straight 180 ml,12,pcs
CRE72,Cream Silk Conditioner Hair Fall 180 ml,24,pcs
CRE78M,Cream Silk Conditioner Damage 11 ml,288,pcs
CRE84,Cream Silk Conditioner Color Revive 10 ml,288,pcs
DEL04,Del Monte Pineapple Chunks 560 g,24,pcs
DEL08,Del Monte Fruit Cocktail 836 g,24,pcs
DEL105,Del Monte Pineapple Slices 227 g,24,pcs
DEL106,Del Monte Pineapple Chunks 227 g,24,pcs
DEL120,Del Monte Juice 4 Seasons 1.36 l,12,pcs
DEL151,Del Monte Elbow Macaroni 1 kg,10,pcs
DEL160,Del Monte Spaghetti Sauce Italian 500 g,24,pcs
DEL162,Del Monte Spaghetti Sauce Filipino 500 g,24,pcs
DEL165,Del Monte Spaghetti Sauce Sweet 900 g,12,pcs
DEL24,Del Monte Ketchup 567 g,12,pcs
DEL27,Del Monte Vinegar Red 47 cl,24,pcs
DEL304,Del Monte Tomato Paste 70 g,36,pcs
DEL34,Del Monte Corn Whole 420 g,24,pcs
DEL394,Del Monte Juice 4 Seasons 330 ml,24,pcs
DEL394D,Del Monte Juice 4 Seasons 330 ml (6-pack),6,pcs
DEL396,Del Monte Juice Pineapple 330 ml,24,pcs
DEL71A,Del Monte Juice Pineapple Ace 220 ml,24,pcs
DEL75,Del Monte Juice Pineapple Fiber 220 ml,24,pcs
DEL82,Del Monte Juice Pineapple Heart 220 ml,24,pcs
DEL84A,Del Monte Juice Mango 1 l,12,pcs
DEL89A,Del Monte Spaghetti 900 g,20,pcs
DEL90A,Del Monte Juice 4 Seasons 1 l (6-pack),6,pcs
DEL172,Del Fabric Softener Lavender 33 ml,28,pcs
DEL236,Del Fabric Softener Blue 22 ml,480,pcs
DIN02,Dingdong Mixed Nuts Hot 100 g,60,pcs
DIN03,Dingdong Snack Mix 100 g,60,pcs
DIN07,Dingdong Snack Mix Sweet 100 g,60,pcs
DOV35,Dove Shampoo Intensive 170 ml,24,pcs
DOV11,Dove Shampoo Straight 170 ml,24,pcs
DOV12,Dove Shampoo Hair Fall 170 ml,24,pcs
DOV56,Dove Shampoo Nourishing 170 ml,24,pcs
DOV62,Dove Soap Sensitive 135 g,48,pcs
DOO04,Doowee Donuts Assorted 42 g,10,pcs
DOW62C,Downy Fabric Conditioner 20 ml,60,pcs
DOW100G,Downy Expert Kontraklab 750 ml,8,pcs
DOW34G,Downy Passion Refill 750 ml,8,pcs
DOM19C,Domex Cleaner Blue 140 ml,36,pcs
DOM11,Domex Cleaner Pink 140 ml,36,pcs
EFF02B,Energizer Battery AAA,12,pcs
ENE10B,Eveready Battery D,12,pcs
EVE19B,Eveready Battery AA,20,pcs
ENF13,Enfagrow A+ 1–3 YRS 350 g,12,pcs
ENF24,Enfagrow A+ 3+ 350 g,12,pcs
ENS04,Ensure Gold Vanilla 380 g,6,pcs
EFF05B,Efficascent Oil 50 ml,6,pcs
EFF02B,Efficascent Oil 25 ml,12,pcs
FIT10,Fita Cracker Singles 30 g,24,pcs
FIT13,Fita Cracker 600 g,12,pcs
FLO05,Florence Kaong Green 340 g,24,pcs
FLO06,Florence Nata Green 340 g,24,pcs
FLO12,Florence Kaong White 240 g,24,pcs
FLO17,Florence Nata Green 680 g,12,pcs
FLO20,Florence Kaong White 340 g,24,pcs
FLO21,Florence Kaong Red 340 g,24,pcs
FLO26,Florence Kaong Red 680 g,12,pcs
FUD01,Fudgee Barr Chocolate 42 g,10,pcs
FUD05,Fudgee Barr Assorted 395 g,10,pcs
FUN18D,Fundador Brandy Light 1 l,12,pcs
FUN24AY,Fundador Solera Platinum 1 l,12,pcs
FUN07,Fundador Light 1.75 l,6,pcs
FUN18D,Fundador Double Light 1 l,12,pcs
FUN24AY,Fundador Super Special 1 l,3,pcs
FUN07,Fundador Ultra Smooth 1 l,12,pcs
GAT84FB,Gatsby Wax Hard Blue 3 g,33,pcs
GAT88FB,Gatsby Wax Matte Black 3 g,33,pcs
GIL11AB,Gillette Rubie II Lady 24 S,24,pcs
GIL11DB,Gillette Rubie II Lady 12/5+1,12,pcs
GLA01A,Glade Air Freshener 320 ml,12,pcs
GLE01,Gleam Muriatic 1 l,12,pcs
GLE09,Gleam Liquid Sosa 500 ml,24,pcs
GOO03,Goodwill Peas 155 g,100,pcs
GRA06,Grahams Crushed 200 g,24,pcs
GRA31,Grahams Honey Crackers 210 g,24,pcs
GRE198,Green Cross Alcohol 500 ml,24,pcs
GRO04,Growers Cashew Salted 80 g,24,pcs
HAP25,Hapee Toothpaste 90 ml,36,pcs
HA001B,Happy Cotton 10 g,100,pcs
HAP07B,Happy Cotton Buds 108’s,12,pcs
HAP35B,Happy Cotton Buds 200’s,6,pcs
HAP01B,Happy Cotton Buds 72’s,12,pcs
HAP56,Happy Peanuts Sweet Chili 100 g,24,pcs
HEA08A,Head & Shoulders 170 ml,12,pcs
HIG20,Highlands Corned Beef 260 g,48,pcs
HOP02,Hope Odong 20 g,50,pcs
IRI01,Irish Spring Soap 3.7 oz,72,pcs
JEM02A,J&J Corn Kernel 425 g,8,pcs
JEM03A,J&J Coconut Milk 400 ml,8,pcs
JOH21B,JB Oil Regular 25 ml,6,pcs
JOH22B,JB Oil Aloe 25 ml,6,pcs
JOH24B,JB Powder Classic 50 g,12,pcs
JOH27B,JB Powder Blossoms 50 g,12,pcs
JOH36B,JB Powder Bedtime 25 g,12,pcs
JOH83B,JB Powder Bedtime 50 g,12,pcs
JOH84B,JB Powder Bedtime 100 g,4,pcs
JIN03,Jinro Soju Grapefruit 360 ml,20,pcs
JOL40,Jolly Mushroom Whole 198 g,48,pcs
JOL27,Jolly Oil Canola 2 l,6,pcs
JOL55D,Jolly Oil Claro 2×1 l,6,pcs
JOY82,Joy Dishwashing Anti-Bac 250 ml,20,pcs
JOY88E,Joy Dishwashing Kalamansi 250 ml,20,pcs
JOY91E,Joy Dishwashing Lemon 250 ml,20,pcs
JOY122,Joy Bath Tissue 2-Ply 4’s,24,pcs
KER01C,Kern & Plas Argan 20 g,24,pcs
KER02,Kern & Plas Sunflower 20 g,24,pcs
KER03,Kern & Plas Biotin 20 g,24,pcs
KIK02,Kikkoman Soy Sauce 100 ml,24,pcs
KNO163,Knorr Cubes Beef 60 g,72,pcs
KNO167,Knorr Cubes Chicken 60 g,72,pcs
KNO171,Knorr Cubes Pork 60 g,72,pcs
KNO53,Knorr Liquid Seasoning 500 ml,12,pcs
KNO11,Knorr Mix Sinigang Original 22 g,12,pcs
KNO150,Knorr Mix Sinigang Miso 23 g,12,pcs
KNO54,Knorr Soup Crab & Corn 37 g,72,pcs
KOK03,Koko Krunch Cereal 170 g,18,pcs
KOJ01,Kojiesan Soap 65 g,48,pcs
KOJ05,Kojiesan Soap 135 g,48,pcs
LAC62,Lactacyd Feminine Wash 60 ml,48,pcs
LAD07,Lala Fish Crackers 50 g,48,pcs
LAL20,Lala Fish Salt & Vinegar 100 g,24,pcs
LAL02,Lala Tempura Snack 100 g,24,pcs
LAS18,Lasap Iodized Salt 250 g,80,pcs
LIW31,Liwanang Candle White 20 S,50,pcs
LIS02D,Listerine Cool Mint 250 ml,8,pcs
LIP33,Lipton Green Tea 1.5 g,24,pcs
LIP21,Lipton Ice Tea Lemon 1 l,12,pcs
LIO09,Lion-Tiger Katol Regular 10 S,60,pcs
LUC01,Lucky Me Beef 55 g,72,pcs
LUC02,Lucky Me Chicken 55 g,72,pcs
LUC107,Lucky Me Beef 100 g,48,pcs
LUC108,Lucky Me Chicken 100 g,48,pcs
LUC22,Lucky Me Itnok 50 g,72,pcs
LUC27,Lucky Me Canton Chilimansi 120 g,48,pcs
LUC39,Lucky Me Canton Hot Chili 120 g,48,pcs
LUC64,Lucky Me Go Cup Bulalo 70 g,30,pcs
LUC67,Lucky Me Go Cup Bulalo 40 g,48,pcs
LUC70,Lucky Me Go Cup Chicken 39 g,48,pcs
MAG46,Maggi Savor 130 ml,24,pcs
MAG07C,Magnolia All-Purpose 250 ml,12,pcs
MAG147A,Magnolia Cheezee 185 g,24,pcs
MAN01,Mang Tomas 325 ml,24,pcs
MAR71,Marcapina Soy Sauce 1 Gallon,4,pcs
MAR74,Marcapina Soy Sauce 1 l,12,pcs
MAR17,Marcapina Sukang Puti 1 l,12,pcs
MAR13,Marlboro Gold 20 S,50,pcs
MAS01,Master Sardines Green 155 g,100,pcs
MAS02,Master Sardines Hot 155 g,100,pcs
MAS06,Master Gulaman 25 g,10,pcs
MCC04,McCormick Iodized Salt 140 g,48,pcs
MCC100,McCormick Onion 3 g,24,pcs
MCC15,McCormick Mushroom Gravy 25 g,24,pcs
MEG09,Mega Sardines Hot 425 g,24,pcs
MEG29,Mega Vermicelli 1 kg,10,pcs
MEG13,Mega Corn Kernel 425 g,24,pcs
MEN23,Mentos Assorted 37.5 g,4,pcs
MIN25,Minola Oil 1 Gallon 3.5 l,4,pcs
MIN55D,Minola Oil Sulit 925 ml,12,pcs
MOU12C,Mirinda Orange 250 ml,24,pcs
MOD04,Modeless All Night 4’S,24,pcs
MON07,Monde Mamon Chocolate 48 g,18,pcs
MON79,Monde Mamon Classic 43 g,10,pcs
MOT39,Mother’s Best Raisins 100 g,48,pcs
MOU23,Mountain Dew Zero 500 ml,24,pcs
MOU24,Mountain Dew Zero 1.5 l,12,pcs
MOU12C,Mountain Dew Zero Sleek 320 ml,24,pcs
MRC25,Mr. Chips Cheese 24 g,100,pcs
MYE05,My Everyday Bihon 227 g,48,pcs
MYE06,My Everyday Bihon 454 g,30,pcs
MYE186,My Everyday Bath 300 m,6,pcs
MYE153,My Everyday Spoon Big 12 S,50,pcs
MYE155,My Everyday Spoon Beige 25 S,50,pcs
MYE43,My Everyday Spork Beige 25 S,50,pcs
MYE260,My Everyday Bag XL 10 S,10,pcs
MYE262,My Everyday Bag XXL 10 S,10,pcs
MYE271,My Everyday Bag M 20 S,10,pcs
MYE273,My Everyday Bag XL Black 10 S,10,pcs
MYE275,My Everyday Bag XXL Black 10 S,10,pcs
NAT09,Natural Spring Purified 1 l,20,pcs
NAT14,Natural Spring Purified 500 ml,35,pcs
NAT33,Natural Spring Purified 10 l,2,pcs
NAT38,Natural Spring Purified 2 l,6,pcs
NAT39,Natural Spring Distilled 2 l,6,pcs
NAT41,Natural Spring Distilled 500 ml,35,pcs
NAT19,Natural Spring Alkaline 1 l,20,pcs
NAT26,Natural Spring Alkaline 10 l,2,pcs
NAT28,Natural Spring Alkaline 6.6 l,3,pcs
NE031C,Nescafé 3-in-1 Latte 40 g,20,pcs
NES38,Nescafé 3-in-1 White 25.5 g,240,pcs
GRE207,Nescafé Classic 2 g,20,pcs
GRE65,Nescafé Brown Barako 52 g,12,pcs
NES49A,Nestlé All-Purpose 125 ml,60,pcs
NES88,Nestlé All-Purpose 250 ml,12,pcs
NES10,Nestlé Honey Stars 150 g,18,pcs
NIS53,Nissin Cup Seafood 60 g,36,pcs
NIS54,Nissin Cup Hot Creamy 48 g,48,pcs
NIS65,Nissin Cup Korean Stew 45 g,48,pcs
NIS50,Nissin Wafer Peanut 50 g,60,pcs
NUT02,Nutella 350 g,12,pcs
NUT06,Nutri-Star Chicken 23 g,100,pcs
OIS117,Oishi Ridges 60 g,30,pcs
OIS186,Oishi Potato Fries 50 g,50,pcs
OIS203,Oishi Bread Pan Cheese 24 g,100,pcs
OIS235,Oishi Sponge Crunch 30 g,100,pcs
OIS27,Oishi Prawn Cracker 60 g,50,pcs
OIS52,Oishi Bread Pan Garlic 24 g,100,pcs
OIS90,Oishi Potato Crisp Beef 18 g,100,pcs
OIS92,Oishi Potato Crisp Garlic 18 g,100,pcs
OIS93,Oishi Potato Crisp Tomato 18 g,100,pcs
OIS94,Oishi Potato Crisp Cheese 18 g,100,pcs
OIS19,Oishi Cheese Sticks 85 g,30,pcs
OIS329,Oishi Potato Chips 60 g,30,pcs
OIS37,Oishi Fries Cheese 50 g,50,pcs
OIS39,Oishi Fries Cheese 90 g,30,pcs
OIS75,Oishi Spicy Seafood 90 g,30,pcs
ORE06,Oreo Sandwich 119.6 g,12,pcs
ORE14,Oreo Sandwich 27.6 g,12,pcs
ORE20,Oreo Mini 20.4 g,6,pcs
PAM51,Pampers Baby Dry L 68 S,3,pcs
PAM72,Pampers Pants M 34 S,4,pcs
PAM74E,Pampers Pants L 30 S,6,pcs
PAY01,Payless Mami Beef 55 g,72,pcs
PAY02,Payless Mami Chicken 55 g,72,pcs
PAY05,Payless Canton Kalamansi 70 g,72,pcs
PAY07,Payless Canton Kalamansi 125 g,48,pcs
PAY08,Payless Canton Original 125 g,48,pcs
PEE03,Peewee Barbecue 25 g,100,pcs
PEE05,Peewee Pizza 25 g,100,pcs
PER37D,Perla Bar Blue 380 g,48,pcs
PER41D,Perla Bar White 380 g,48,pcs
PIA04,Piattos Sour Cream 85 g,50,pcs
PLU01,Plus King Grape 250 ml,10,pcs
PLU02,Plus King Guyabano 250 ml,10,pcs
PLU11,Plus King Orange 250 ml,10,pcs
PLU12,Plus King Apple 250 ml,10,pcs
PLU16,Plus King Mango 250 ml,10,pcs
PLU17,Plus King Pineapple 250 ml,10,pcs
POC02A,Pocari Sweat 500 ml,24,pcs
POT08,Potato Chips Classic 60 g,50,pcs
PRI04,Pringles Original 42 g,12,pcs
PRI17D,Pringles Sour Cream 102 g,12,pcs
PRI26,Pringles Barbecue 107 g,12,pcs
PRI31D,Pringles Cheese 102 g,12,pcs
PRI02,Pride Powder 1 kg,12,pcs
PRI130,Pride Powder 40 g,50,pcs
PRO27Y,Promil Four 3+ 1.8 kg,1,pcs
PAM51,Pampers Pants L 4 S,32,pcs
PAM74E,Pampers Pants XL 4 S,40,pcs
QUA13,Quaker Instant Banana 500 g,24,pcs
QUA24,Quaker Quick Cook 200 g,24,pcs
QUE05,Queen All-Purpose 200 g,48,pcs
QUI03,Quickchow Chicken 55 g,72,pcs
RAM03,Ram Bread Crumbs 230 g,24,pcs
RAM01,Ram Garbanzos 225 g,48,pcs
RAM59,Ram Salted Black Beans 100 g,48,pcs
REG89,Regent Tempura 100 g,25,pcs
ROL03,Regent Lobster 100 g,25,pcs
REL07,Relish Vermicelli 80 g,250,pcs
REJ05,Rejoice Rich 170 ml,24,pcs
RIT12,Rite N Lite Orange 250 ml,24,pcs
RIT13,Rite N Lite Root Beer 250 ml,24,pcs
RIT16,Rite N Lite Lychee 250 ml,24,pcs
ROS05,Rose Straw 60 g,50,pcs
REX05,Rexona Ice Cool 25 ml,24,pcs
REX08,Rexona Passion 25 ml,24,pcs
SAN61C,San Miguel Coffee 7 g,15,pcs
SAN74,San Remo Fettuccine 500 g,20,pcs
SAN116,Sanicare Bath 3-Ply 12 S,8,pcs
SIL19,Silver Swan Patis 350 ml,24,pcs
SIL60,Silver Swan Beans 100 g,72,pcs
SIL74,Silver Swan Soy Sauce 200 ml,60,pcs
SIL97,Silver Swan Soy Sauce 100 ml,72,pcs
SKY16,Sky Flakes 900 g,12,pcs
SKY27,Sky Flakes 25 g,15,pcs
SKY19,Sky Flakes Fit 25 g,30,pcs
STI02,Stik-O Junior 380 g,12,pcs
STI03,Stik-O 850 g,6,pcs
STI16,Stik-O Mini 60 g,30,pcs
STR21B,Strepsils Honey 8 S,36,pcs
STR22B,Strepsils Cool 8 S,36,pcs
SUM01,Summit 4 l,4,pcs
SUM14,Summit 6 l,3,pcs
SUP03,Superstix Milk 300 g,12,pcs
SUP05,Superstix Pandan 330 g,12,pcs
SUR161,Surf Bar Kalamansi 360 g,36,pcs
SUR163,Surf Bar Tawas 360 g,36,pcs
SUR167C,Surf Blossom Fresh 360 g,18,pcs
SUR56,Surf Purple Blooms 120 g,96,pcs
SWE08,Sweet Corn 60 g,25,pcs
SWE08,Sweet Station 250 g,24,pcs
TAN139,Tang Apple 19 g,144,pcs
TAN27,Tang Four Seasons 19 g,144,pcs
TAN45,Tang Calamansi 19 g,144,pcs
TEN09C,Tender Love Sweet 80 S,12,pcs
TEN27,Tender Love Aloe 80 S,36,pcs
TEN08C,Tender Love Papaya 80 S,12,pcs
TRO02,Tropicana Orange 355 ml,24,pcs
TRO26,Tropicana Orange 1 l,12,pcs
TRU03B,Trust Strawberry 3 S,24,pcs
TRU06B,Trust Ultra Thin 3 S,24,pcs
UFC41,UFC Hapi Fiesta 1 l,12,pcs
UFC82G,UFC Golden Fiesta 2×1 l,6,pcs
VAN01A,Vanita Kitchen Towel 160 S,8,pcs
VER04A,Verygood Dishwashing 250 ml,24,pcs
VCU06,V-Cut Cheese 25 g,80,pcs
VCU03,V-Cut Spicy 155 g,18,pcs
VIC04B,Vicks Baby Balm 20 g,12,pcs
VIC07B,Vicks Inhaler 0.5 ml,6,pcs
WHI118A,Whisper Dry 8 S,48,pcs
WHI175,Whisper Cottony 8 S,48,pcs
WHI60A,Whisper Long 8 S,24,pcs
WHI04A,White King Fiesta 400 g,24,pcs
WIN07B,Winston Blue 20 S,50,pcs
WIN30B,Winston Red 20 S,50,pcs
ZON22,Zonrox Bleach Floral 250 ml,48,pcs
ZON52,Zonrox Bleach Color Safe 225 ml,48,pcs
ZON54,Zonrox Bleach Color Safe 900 ml,24,pcs
